Division,Population,0-4,5-9,10-14,15-19,20-64,65+,Average Household Size,Population density,Employment Rate,Worked at usual place
d1,82627,5115,5460,5090,5005,48460,13500,2.4,4,59.7,29525
d2,169729,12065,12270,10940,11065,98465,24925,2.6,9.6,64.4,63420
d3,38956,2535,2795,2705,2655,20340,7920,2.7,2.8,55.5,10710
d4,9573,590,595,555,585,5400,1845,2.3,0.4,69.7,2940
d5,55708,3515,3755,3735,3615,31915,9165,2.5,3.3,62.8,17455
d6,1498778,95040,99265,87880,86250,960485,169860,2.6,118.4,66.3,618800
d7,41574,2550,2625,2710,2645,23875,7165,2.4,2.2,66.4,13855
d8,209395,13855,14300,12915,12880,128670,26775,2.5,21.1,63.8,78390
d9,20869,1350,1500,1385,1375,12095,3160,2.6,1.1,59.5,6290
d10,97449,6165,6650,6080,5940,56030,16585,2.5,4.8,63.3,34245
d11,1366050,88120,86950,77420,78455,865450,169650,2.6,86.5,65.6,569315
d12,67120,4965,5100,4585,4400,39945,8120,2.7,2.1,63.1,23320
d13,71016,4090,4630,4375,4360,41500,12060,2.5,2.9,61.5,23315
d14,29291,1850,1900,1820,1805,18195,3715,2.5,1.1,65,11230
d15,38594,1995,2105,1775,2095,25910,4715,2.5,1.4,67,15130
d16,73988,6270,4930,3820,3650,53220,2100,2.8,0.8,71.7,34620
d17,61590,6035,5895,5250,4865,33795,5755,3.1,0.3,56.6,17285
d18,14488,910,1045,1000,980,8865,1690,2.6,0.4,61.9,4650
d19,120380,9510,8930,7885,7415,75140,11505,2.6,5.9,68.9,45820
